b'F', time+P2EB1:R2, state, temperature, alt, ram_diff, bno_x, bno_y, bno_z, high_x, high_y, high_z, gyro_x, gyro_y, gyro_z, , , ,
b'F',1745343,0,5.13,0.514282227,-28932.875,9.74,-0.47,-0.89,9.379117966,-0.333090156,-0.543462932,-0.0625,0.1875,-0.25,2.5,1.3,3.1,3.6
b'F',1745374,0,5.13,0.514282227,-28932.875,9.76,-0.45,-0.91,9.273931503,-0.508400798,-0.525931835,0.0625,0.1875,-0.0625,2.5,1.3,3.1,3.6
b'F',1745412,0,5.13,0.514282227,-28609.875,9.76,-0.47,-0.91,9.238869667,-0.333090156,-0.543462932,-0.125,0.0625,0,2.5,1.3,3.1,3.6
b'F',1745446,0,5.13,0.514282227,-28609.875,9.76,-0.47,-0.87,9.344056129,-0.403214425,-0.525931835,-0.125,0.1875,-0.0625,2.5,1.3,3.1,3.6
b'F',1745475,0,5.13,0.514282227,-28609.875,9.76,-0.47,-0.89,9.168745041,-0.508400798,-0.473338664,0,0.125,-0.0625,2.5,1.3,3.1,3.6
b'F',1745513,0,5.13,0.448242188,-28835.875,9.74,-0.47,-0.91,9.291462898,-0.560993969,-0.631118238,-0.125,0.125,-0.1875,2.5,1.3,3.1,3.6
b'F',1745542,0,5.13,0.448242188,-28835.875,9.78,-0.47,-0.87,9.30899334,-0.543462932,-0.613587141,-0.125,0.0625,-0.0625,2.5,1.3,3.1,3.6
b'F',1745580,0,5.13,0.448242188,-29132.875,9.78,-0.47,-0.89,8.835655212,-0.262965918,-0.368152291,-0.1875,0.25,0,2.5,1.3,3.1,3.6
b'F',1745610,0,5.13,0.448242188,-29132.875,9.74,-0.47,-0.89,9.396649361,-0.455807596,-0.508400798,-0.0625,0.1875,-0.0625,2.4,1.3,3.1,3.6
b'F',1745648,0,5.13,0.448242188,-29132.875,9.74,-0.47,-0.87,9.536897659,-0.350621223,-0.543462932,-0.1875,0.25,-0.0625,2.4,1.3,3.1,3.6
b'F',1745679,0,5.13,0.448242188,-29064.875,9.76,-0.47,-0.89,9.238869667,-0.298028052,-0.227903798,-0.125,0.25,-0.0625,2.5,1.3,3.1,3.6
b'F',1745721,0,5.13,0.509643555,-29064.875,9.76,-0.45,-0.91,9.344056129,-0.473338664,-0.455807596,-0.1875,0.0625,-0.1875,2.5,1.3,3.1,3.6
b'F',1745755,0,5.13,0.448242188,-29064.875,9.74,-0.47,-0.87,9.344056129,-0.385683358,-0.613587141,-0.125,0.125,0.0625,2.5,1.3,3.1,3.6
b'F',1745790,0,5.13,0.448242188,-28792.875,9.76,-0.47,-0.89,9.273931503,-0.368152291,-0.368152291,-0.1875,0.0625,-0.0625,2.5,1.3,3.1,3.6
b'F',1745832,0,5.13,0.382202148,-28792.875,9.74,-0.47,-0.89,9.273931503,-0.788897753,-0.666180313,-0.125,0.1875,0.0625,2.5,1.3,3.1,3.6
b'F',1745867,0,5.13,0.382202148,-28781.875,9.76,-0.47,-0.91,9.273931503,-0.946677327,-0.753835618,-0.0625,0.3125,-0.125,2.5,1.3,3.1,3.6
b'F',1745906,0,5.13,0.382202148,-28781.875,9.74,-0.49,-0.87,9.326524734,-0.333090156,-0.613587141,-0.0625,0,-0.125,2.5,1.3,3.1,3.6
b'F',1745944,0,5.13,0.382202148,-28781.875,9.76,-0.47,-0.89,9.133683205,-0.122717433,-0.543462932,0.0625,0.1875,-0.0625,2.5,1.3,3.1,3.6
b'F',1745986,0,5.13,0.382202148,-29095.875,9.74,-0.47,-0.89,9.238869667,-0.508400798,-0.473338664,-0.0625,0.125,-0.0625,2.5,1.3,3.1,3.6
b'F',1746020,0,5.13,0.382202148,-29095.875,9.78,-0.47,-0.91,9.273931503,-0.596056104,-0.543462932,0,0.25,0.125,2.5,1.3,3.1,3.6
b'F',1746063,0,5.13,0.448242188,-29135.875,9.74,-0.49,-0.87,9.1512146,-0.420745492,-0.718773544,-0.0625,0.125,0.0625,2.5,1.3,3.1,3.6
b'F',1746099,0,5.13,0.448242188,-29135.875,9.74,-0.47,-0.89,9.326524734,-0.560993969,-0.613587141,-0.125,0.0625,0,2.5,1.3,3.1,3.6
b'F',1746133,0,5.13,0.448242188,-29135.875,9.74,-0.47,-0.89,9.273931503,-0.525931835,-0.403214425,-0.125,0.1875,0,2.5,1.3,3.1,3.6
b'F',1746176,0,5.13,0.448242188,-29080.875,9.76,-0.47,-0.89,9.571959496,-0.68371141,-0.596056104,-0.0625,0.3125,-0.0625,2.5,1.3,3.1,3.6
b'F',1746210,0,5.13,0.382202148,-29080.875,9.76,-0.47,-0.87,9.449242592,-0.596056104,-0.543462932,-0.0625,0.0625,-0.1875,2.5,1.3,3.1,3.6
b'F',1746301,0,5.13,0.382202148,-29147.875,9.76,-0.47,-0.89,9.501835823,-0.280496985,-0.666180313,-0.1875,0.125,-0.0625,2.5,1.3,3.1,3.6
b'F',1746332,0,5.13,0.448242188,-29147.875,9.74,-0.47,-0.87,9.449242592,-0.438276529,-0.578525007,-0.0625,0.1875,-0.125,2.5,1.3,3.1,3.6
b'F',1746374,0,5.13,0.448242188,-29005.875,9.78,-0.47,-0.89,9.273931503,-0.227903798,-0.718773544,-0.0625,0.1875,-0.125,2.5,1.3,3.1,3.6
b'F',1746407,0,5.13,0.448242188,-29005.875,9.76,-0.47,-0.89,9.396649361,-0.631118238,-0.473338664,-0.0625,-0.0625,0,2.5,1.3,3.1,3.6
b'F',1746446,0,5.13,0.448242188,-29026.875,9.74,-0.47,-0.89,9.256400108,-0.368152291,-0.666180313,0,0.125,0,2.5,1.3,3.1,3.6
b'F',1746475,0,5.13,0.448242188,-29026.875,9.74,-0.45,-0.91,9.326524734,-0.385683358,-0.753835618,-0.0625,0.125,0,2.5,1.3,3.1,3.6
b'F',1746508,0,5.13,0.448242188,-29026.875,9.72,-0.47,-0.89,9.238869667,-0.473338664,-0.403214425,-0.125,0.3125,0,2.5,1.3,3.1,3.6
b'F',1746544,0,5.13,0.382202148,-29168.875,9.76,-0.47,-0.91,9.344056129,-0.315559119,-0.560993969,-0.0625,0.1875,-0.125,2.5,1.3,3.1,3.6
b'F',1746574,0,5.13,0.382202148,-29168.875,9.76,-0.47,-0.89,9.361586571,-0.455807596,-0.490869731,-0.0625,0.375,-0.125,2.5,1.3,3.1,3.6
b'F',1746611,0,5.13,0.382202148,-29168.875,9.78,-0.47,-0.91,9.238869667,-0.80642885,-0.841490984,-0.125,0.25,0,2.5,1.3,3.1,3.6
b'F',1746641,0,5.13,0.382202148,-29107.875,9.76,-0.47,-0.91,9.168745041,-0.420745492,-0.666180313,-0.0625,0.125,-0.125,2.4,1.3,3.1,3.6
b'F',1746680,0,5.13,0.382202148,-29107.875,9.76,-0.47,-0.89,9.168745041,-0.455807596,-0.368152291,0,0.125,0.0625,2.4,1.3,3.1,3.6
b'F',1746714,0,5.13,0.382202148,-29107.875,9.74,-0.49,-0.89,9.11615181,-0.280496985,-0.333090156,0.0625,0.125,-0.125,2.5,1.3,3.1,3.6
b'F',1746756,0,5.13,0.382202148,-29090.875,9.76,-0.47,-0.91,9.186276436,-0.403214425,-0.613587141,-0.125,0.1875,-0.0625,2.5,1.3,3.1,3.6
b'F',1746791,0,5.13,0.382202148,-29090.875,9.76,-0.49,-0.89,9.256400108,-0.596056104,-0.490869731,-0.125,0,0,2.5,1.3,3.1,3.6
b'F',1746823,0,5.13,0.382202148,-29090.875,9.76,-0.42,-0.89,9.449242592,-0.490869731,-0.333090156,-0.25,0.25,0,2.5,1.3,3.1,3.6
b'F',1746865,0,5.13,0.382202148,-28844.875,9.76,-0.45,-1.04,9.379117966,-0.596056104,-0.403214425,0.125,0.25,-0.125,2.5,1.3,3.1,3.6
b'F',1746896,0,5.13,0.311523438,-28844.875,9.8,-0.38,-0.89,9.379117966,-0.525931835,-0.543462932,-0.0625,0.1875,-0.1875,2.5,1.3,3.1,3.6
b'F',1746943,0,5.13,0.311523438,-28955.875,9.76,-0.47,-0.87,9.466773033,-0.455807596,-0.596056104,-0.0625,0.1875,0.0625,2.5,1.3,3.1,3.6
b'F',1746977,0,5.13,0.311523438,-28955.875,9.7,-0.47,-0.92,9.501835823,-0.525931835,-0.701242447,0.0625,0.1875,0,2.5,1.3,3.1,3.6
b'F',1747020,0,5.13,0.311523438,-29122.875,9.74,-0.49,-0.94,9.396649361,-0.385683358,-0.596056104,-0.0625,0,-0.125,2.5,1.3,3.1,3.6
b'F',1747055,0,5.13,0.245361328,-29122.875,9.78,-0.45,-0.87,9.344056129,-0.315559119,-0.92914629,0.125,0.25,-0.0625,2.5,1.3,3.1,3.6
b'F',1747099,0,5.13,0.245361328,-29122.875,9.72,-0.45,-0.87,8.975903511,-0.490869731,-0.613587141,-0.375,0.25,-0.125,2.5,1.3,3.1,3.6
b'F',1747133,0,5.13,0.311523438,-29138.875,9.74,-0.47,-0.87,9.098621368,-0.543462932,-0.385683358,0,0,-0.0625,2.5,1.3,3.1,3.6
b'F',1747170,0,5.13,0.311523438,-29138.875,9.78,-0.44,-0.92,9.221338272,-0.543462932,-0.368152291,-0.125,0,-0.0625,2.5,1.3,3.1,3.6
b'F',1747212,0,5.13,0.311523438,-29138.875,9.72,-0.42,-0.87,9.361586571,-0.438276529,-0.508400798,-0.25,0.1875,-0.125,2.5,1.3,3.1,3.6
b'F',1747245,0,5.13,0.311523438,-29316.875,9.8,-0.45,-0.91,9.326524734,-0.420745492,-0.333090156,-0.0625,0,-0.0625,2.5,1.3,3.1,3.6
b'F',1747287,0,5.13,0.245361328,-29316.875,9.76,-0.49,-0.96,9.431711197,-0.298028052,-0.280496985,-0.1875,0.125,-0.0625,2.5,1.3,3.1,3.6
b'F',1747319,0,5.13,0.311523438,-29154.875,9.78,-0.47,-1.1,9.344056129,-0.385683358,-0.333090156,-0.1875,0.0625,-0.1875,2.5,1.3,3.1,3.6
b'F',1747360,0,5.13,-0.759521484,-29154.875,22.95,-0.24,-1.1,18.68811226,-0.070124246,0.543462932,-0.125,-0.6875,-0.1875,2.5,1.3,3.1,3.6
b'F',1747389,0,5.13,0.042480469,-29154.875,93.79,-1.56,-13.82,64.14615631,2.927687168,-5.645001888,6.5625,-0.6875,-1.125,2.5,1.3,3.1,3.6
b'F',1747427,0,5.13,0.986083984,-28548.875,94.86,6.18,-10.63,78.10087585,3.190653086,-11.53543854,37.6875,-2.4375,-3.25,2.5,1.3,3.1,3.6
b'F',1747461,0,5.13,1.722167969,-28548.875,94.91,-4.8,5.17,81.13375092,1.05186367,-8.081819534,49.6875,-1.25,-2.5,2.5,1.3,3.1,3.6
b'F',1747498,0,5.13,2.260009766,-28548.875,96.68,1.17,-8.81,83.62316132,0.771366715,-11.9211216,82.1875,1.375,-0.625,2.5,1.3,3.1,3.6
b'F',1747526,0,5.13,2.462890625,-2333.875,94.88,-0.36,-11.47,88.18123627,-0.262965918,-7.783791542,45.5,-2.125,-0.4375,2.5,1.3,3.1,3.6
b'F',1747564,0,5.13,3.1328125,-2333.875,94.84,-10.97,0.76,84.04390717,-1.437547088,-18.47773933,8.625,-0.625,-1.5,2.5,1.3,3.1,3.6
b'F',1747594,0,5.13,3.335693359,-2333.875,95.82,7.41,-10.25,88.47927094,-1.665450811,-10.01023579,17.1875,-0.5,0.9375,2.5,1.3,3.1,3.6
b'F',1747623,0,5.13,3.604614258,68830.125,96.96,-6.1,-2.37,84.7802124,-6.416368484,-19.37182236,3.25,2.3125,-2.125,2.5,1.3,3.1,3.6
b'F',1747662,0,5.13,4.340698242,68830.125,98.54,-1.42,-1.52,88.18123627,-1.279767513,-11.88605976,0.5625,4.1875,2.3125,2.3,1.1,3.1,3.6
b'F',1747692,0,5.13,4.746337891,68830.125,99.55,-4.26,-8.25,86.23529053,-0.017531062,-21.72098541,5.1875,2.875,6.375,2.3,1.1,3.1,3.6
b'F',1747731,0,5.13,5.416381836,116547.125,100.62,-0.96,-6.92,90.49533844,-1.577795506,-6.731927872,-14.625,-6.4375,8.3125,2.3,1.1,3.1,3.6
b'F',1747764,0,5.13,6.091064453,116547.125,100.98,-3.15,-6.84,91.31929779,-2.331631184,-3.83930254,-14.125,-10.5625,12.1875,2.5,1.3,3.1,3.6
b'F',1747807,0,5.13,7.161987305,190100.125,101.51,-2.78,-6.02,91.51213837,-2.489410639,-3.295839548,-14.9375,-16.25,16.1875,2.5,1.3,3.1,3.6
b'F',1747843,0,5.13,7.765869141,190100.125,101.76,-2.76,-6.02,93.0899353,-2.068665266,-1.314829588,-15.625,-21.375,19.3125,2.5,1.3,3.1,3.6
b'F',1747885,0,5.13,8.978393555,190100.125,102.27,-2.49,-6.04,95.1410675,-2.506941795,-3.83930254,-16.5625,-26.3125,22.6875,2.5,1.3,3.1,3.6
b'F',1747921,0,5.13,9.917358398,307407.125,102.63,-2.71,-5.53,93.79117584,-2.436817646,-1.069394708,-17.0625,-29.8125,25.1875,2.5,1.3,3.1,3.6
b'F',1747961,0,5.13,10.99304199,307407.125,103.23,-2.37,-6.23,94.03661346,-2.261507034,0.578525007,-17.875,-33.9375,28.125,2.5,1.3,3.1,3.6
b'F',1747999,0,5.13,12.20080566,464830.125,103.84,-2.08,-5.57,96.63121033,-2.787438869,3.453619242,-19.125,-38.5625,30.5625,2.5,1.3,3.1,3.6
b'F',1748042,0,5.13,14.01733398,464830.125,104.59,-1.44,-5.02,96.21046448,-1.753106117,0.859022021,-19.125,-41.625,32.875,2.5,1.3,3.1,3.6
b'F',1748077,0,5.13,15.70166016,464830.125,105.05,-1.19,-4.32,95.33391571,-1.034332633,3.365963936,-19.5,-44.3125,34.1875,2.5,1.3,3.1,3.6
b'F',1748119,0,5.13,17.64538574,670807.125,105.56,-1.23,-3.21,94.94822693,-0.648649275,1.753106117,-20.1875,-44.5625,34.6875,2.5,1.3,3.1,3.6
b'F',1748155,0,5.13,19.73083496,670807.125,105.98,-0.42,-2.03,95.50922394,-0.210372746,1.279767513,-17.9375,-43.75,34.3125,2.5,1.3,3.1,3.6
b'F',1748197,0,5.13,22.61816406,919202.125,106.38,0.74,-2.01,95.24625397,0.455807596,-0.227903798,-11.125,-40.6875,33.75,2.5,1.3,3.1,3.6
b'F',1748232,0,5.13,24.83569336,919202.125,107.25,0.78,-0.61,97.94603729,0.140248492,2.068665266,-0.1875,-37.75,32.625,2.5,1.3,3.1,3.6
b'F',1748267,0,5.13,26.38793945,919202.125,107.99,1.82,-0.13,99.62902069,0.105186373,5.557346344,20.5,-32.625,31.1875,2.5,1.3,3.1,3.6
b'F',1748308,0,5.11,29.41210938,1202879.125,108.47,3.11,0.36,99.06803131,2.401755333,3.59386754,50.5,-25.875,28.9375,2.5,1.3,3.1,3.6
b'F',1748339,1,5.11,31.02575684,1202879.125,103.26,3.68,0.13,95.45662689,3.611398697,1.069394708,79.9375,-21.125,26.5625,2.5,1.3,3.1,3.6
b'F',1748380,1,5.11,33.91784668,1508015.125,109.54,4.64,0.26,97.2623291,4.417827606,5.276849747,121.6875,-14.6875,22.0625,2.5,1.3,3.1,3.6
b'F',1748412,1,5.11,35.39453125,1508015.125,109.89,6.12,-1.4,98.9453125,4.943759441,5.08400774,155.5,-9.8125,17.375,2.5,1.3,3.1,3.6
b'F',1748475,1,5.11,39.23498535,1829381.125,110.25,7.75,-4.26,98.66481781,6.714396477,-1.455078125,219.6875,-5.75,0.5,2.5,1.3,3.1,3.6
b'F',1748514,1,5.09,40.84863281,1829381.125,110.33,8.13,-7.28,98.64728546,7.450701237,-3.050404787,225.4375,-8.5625,-7.875,2.5,1.3,3.1,3.6
b'F',1748546,1,5.09,41.92431641,1829381.125,110.43,7.47,-9,99.83939362,6.889707088,-1.4901402,216.375,-16,-19,2.5,1.3,3.1,3.6
b'F',1748575,1,5.09,43.60388184,2188863,110.27,6.66,-7.79,99.33099365,7.818853378,-3.243246317,195,-20.4375,-24,2.5,1.3,3.1,3.6
b'F',1748611,1,5.09,45.21740723,2188863,110.43,5.84,-7.63,98.29666138,8.204536438,-1.840761423,162.5625,-29.75,-32.125,2.5,1.3,3.1,3.6
b'F',1748641,1,5.09,46.16577148,2188863,110.19,4.85,-7.15,99.48877716,6.223526955,-2.524472952,142.6875,-35.9375,-36.1875,2.5,1.3,3.1,3.6
b'F',1748671,1,5.09,47.71325684,2601554,110.47,3.87,-6.27,99.69915009,5.399567127,-1.560264468,125.25,-41.5,-39.4375,2.5,1.3,3.1,3.6
b'F',1748710,1,5.09,49.33154297,2601554,109.83,2.47,-4.57,98.5070343,5.311911583,-0.736304581,104.6875,-46.125,-41.375,2.3,1,3.1,3.6
b'F',1748739,1,5.07,50.67614746,2601554,109.92,1.31,-3.13,97.61295319,3.541274548,-2.787438869,93.75,-47.8125,-41.75,2.3,1.1,3.1,3.6
b'F',1748772,1,5.07,53.17199707,3156003,109.96,0.28,-1.27,97.56035614,2.734845638,-0.92914629,88.0625,-46.75,-40.875,2.5,1.3,3.1,3.6
b'F',1748818,1,5.07,56.88037109,3156003,109.79,-0.87,0.85,98.57715607,-0.175310612,5.031414509,79.5,-40.9375,-37.4375,2.3,1.1,3.1,3.6
b'F',1748852,1,5.07,59.44702148,3830324,109.54,-1.84,2.47,99.7166748,-1.332360625,9.344056129,77.1875,-34.8125,-35.0625,2.3,1.1,3.1,3.6
b'F',1748886,1,5.06,61.32946777,3830324,109.42,-2.28,3.21,98.57715607,-1.805699348,7.853915691,76.6875,-28.375,-32.6875,2.3,1.1,3.1,3.6
b'F',1748929,1,5.06,65.11328125,3830324,109.05,-2.88,3.75,98.78752899,-2.419286489,11.79840469,78.0625,-15.1875,-28.875,2.5,1.3,3.1,3.6
b'F',1748959,1,5.06,67.07128906,4534391,108.82,-3.37,3.89,97.98110199,-2.296569109,7.99416399,80.4375,-6.375,-26.0625,2.3,1.1,3.1,3.6
b'F',1749003,1,5.06,70.85510254,4534391,108.47,-4.64,4.02,97.2272644,-3.067935705,4.277578831,83.5625,4.3125,-22.3125,2.3,1.1,3.1,3.6
b'F',1749037,1,5.06,73.55383301,4534391,108.22,-4.91,3.43,97.33245087,-2.945218325,5.62747097,85.1875,12,-18.875,2.5,1.3,3.1,3.6
b'F',1749071,1,5.06,75.92224121,5263014,107.81,-4.72,0.78,97.38504791,-3.611398697,5.259318352,87.875,20.9375,-14.125,2.3,1.1,3.1,3.6
b'F',1749113,1,5.06,78.15393066,5263014,107.33,-5.27,-1.17,95.50922394,-2.840031862,2.34916234,87.4375,26.5625,-8.8125,2.3,1,3.1,3.6
b'F',1749147,1,5.06,80.58361816,6010516,106.57,-4.76,-3.45,96.26306152,-2.962749481,2.068665266,84.4375,29,-4.5625,2.3,1,3.1,3.6
b'F',1749182,1,5.06,83.22106934,6010516,106.12,-4.72,-4.59,95.28131866,-2.892625093,-1.262236476,73.25,29.3125,2.375,2.5,1.3,3.1,3.6
b'F',1749226,1,5.06,85.99523926,6010516,105.35,-3.83,-6.92,95.47415924,-2.769907713,-3.418556929,58.5,25.5,7.6875,2.3,1.1,3.1,3.6
b'F',1749259,1,5.06,88.4296875,6795784,105.35,-2.63,-8.32,95.10601044,-2.664721251,-1.770637274,36.3125,20.25,11.8125,2.3,1.1,3.1,3.6
b'F',1749293,1,5.06,90.45849609,6795784,104.56,-1.97,-9.32,95.49169159,-1.718044043,-2.927687168,17.125,12.25,14.3125,2.5,1.3,3.1,3.6
b'F',1749334,1,5.04,92.62402344,7194829,104.03,-0.78,-9.42,94.96575928,-0.946677327,-1.542733431,-10.25,4.375,15.9375,2.3,1.1,3.1,3.6
b'F',1749367,1,5.04,95.06323242,7194829,103.46,0.57,-9.36,94.07167816,-0.333090156,-1.455078125,-30.375,-3.3125,15.6875,2.3,1.1,3.1,3.6
b'F',1749400,1,5.04,97.90820313,7194829,102.8,1.65,-8.51,93.21265411,0.350621223,-3.611398697,-57.1875,-11.5625,12.9375,2.3,1.1,3.1,3.6
b'F',1749438,1,5.04,100.9512939,7194829,102.15,2.22,-5.84,90.95114899,1.209643245,-4.03214407,-76.4375,-16.125,9.3125,2.5,1.3,3.1,3.6
b'F',1749468,1,5.04,103.1876221,7194829,101.34,2.35,-4.02,90.56546021,2.331631184,-1.85829258,-93.5,-17.5,5.0625,2.3,1.1,3.1,3.6
b'F',1749501,1,5.04,107.0469971,7194829,100.5,1.44,-1.42,90.35509491,2.787438869,-0.385683358,-110.375,-15.5,-1.0625,2.3,1.1,3.1,3.6
b'F',1749540,1,5.04,110.9818115,7194829,99.69,0.76,0.74,89.58372498,1.893354654,2.682252407,-119.8125,-8.6875,-5.75,2.5,1.3,3.1,3.6
b'F',1749570,1,5.04,114.916626,7194829,99.26,-0.19,1.12,89.86421967,1.016801596,4.785979748,-123.625,-0.75,-7.5625,2.3,1.1,3.1,3.6
b'F',1749600,1,5.04,117.2189941,7194829,98.36,-2.18,1.97,88.9175415,0.368152291,4.540544987,-124.1875,4.125,-7.8125,2.3,1.1,3.1,3.6
b'F',1749637,1,5.04,120.2762451,7194829,97.85,-3.73,1.19,87.91827393,-1.402484894,5.031414509,-122.3125,10.5,-4.875,2.3,1.1,3.1,3.6
b'F',1749670,1,5.02,123.5977783,7194829,96.37,-4.8,-0.21,87.19950104,-2.717314482,4.137330532,-118.6875,15,-0.25,2.5,1.3,3.1,3.6
b'F',1749703,1,5.02,127.4051514,7194829,95.75,-4.22,-2.05,86.63850403,-3.085466862,4.435358524,-114.875,19.3125,7.875,2.3,1.1,3.1,3.6
b'F',1749743,1,5.02,131.4720459,7194829,94.8,-3.71,-3.73,86.0599823,-2.664721251,1.367422819,-115.875,18.8125,14.8125,2.3,1.1,3.1,3.6
b'S',32,56,21.59568787,78,106,54,43.69010925,87,34.5,256.07,2.66,2.72,b'GLL',88.16918945,1749438,334,,
b'F',1749776,1,5.02,135.213501,7194829,94.16,-2.35,-5.17,86.18270111,-1.788168311,0.280496985,-121.25,13.75,18.5625,2.3,1.1,3.1,3.6
b'F',1749814,1,5.02,138.6811523,7194829,93.61,0.3,-5.75,84.74514771,-0.122717433,-0.894084156,-133.3125,7.6875,20.625,2.5,1.3,3.1,3.6
b'S',32,56,21.59568787,78,106,54,43.69010925,87,34.5,256.07,2.66,2.72,b'VNC',88.16918945,1749438,413,,
b'F',1749856,1,5.02,142.2197266,7194829,92.74,1.93,-4.95,84.18415833,0.946677327,-0.841490984,-149.75,1.375,17.5,2.3,1.1,3.1,3.6
b'F',1749894,1,5.02,147.9379883,7194829,92.09,2.69,-3.11,83.81600189,2.34916234,0.911615193,-166.1875,-4.5625,11.3125,2.3,1.1,3.1,3.6
b'S',32,56,21.59568787,78,106,54,43.69010925,87,34.5,256.07,99.99,2.72,b'GGA',88.16918945,1749438,485,,
b'F',1749936,1,5.02,152.4954834,7194829,91.12,2.39,-0.67,82.93945313,2.471879721,2.296569109,-178.75,-1.3125,4.1875,2.5,1.3,3.1,3.6
b'F',1749976,1,5.02,156.8549805,7194829,90.26,0.32,0.01,82.04536438,2.366693258,4.260047913,-186.1875,4.1875,-0.9375,2.3,1.1,3.1,3.6
b'F',1750011,1,5.02,161.1483154,7194829,89.42,-1,0.15,81.09869385,0.105186373,3.085466862,-187.375,8.125,-2.125,2.3,1.1,3.1,3.6
b'F',1750054,1,5.02,166.4655762,7194829,88.49,-2.98,-0.92,81.09869385,-1.314829588,1.157050014,-183.6875,12.375,1.875,2.3,1.1,3.1,3.6
b'F',1750087,1,5.02,169.1264648,7194829,87.8,-3.92,-2.39,81.02856445,-2.068665266,1.85829258,-180,10.625,6.0625,2.5,1.3,3.1,3.6
b'F',1750122,1,5.02,173.2218018,7194829,87.29,-3.09,-3.21,79.67867279,-2.927687168,-0.333090156,-177.875,11.1875,10.625,2.3,1.1,3.1,3.6
b'F',1750164,1,5.02,178.411499,7194829,86.77,-1.4,-3.77,79.17027283,-1.805699348,-0.455807596,-180.625,4.6875,15.1875,2.3,1.1,3.1,3.6
b'F',1750198,1,5.02,182.7803955,7194829,86.48,0.13,-3.26,78.31124878,-0.315559119,-1.034332633,-185.4375,-4.9375,14.5625,2.5,1.3,3.1,3.6
b'F',1750230,1,5.02,185.8518066,7194829,86.15,0.57,-1.91,77.59247589,0.490869731,-0.070124246,-190.6875,-1.1875,12.9375,2.3,1.1,3.1,3.6
b'F',1750270,1,5.02,190.5698242,7194829,86.07,1.46,-0.03,77.08407593,1.086925864,0.368152291,-196.75,-1.625,8.8125,2.3,1.1,3.1,3.6
